Chewie-NS ID	Original ID
wgMLST-00032703	b1622
wgMLST-00032704	b1623
wgMLST-00032707	b1626
wgMLST-00032708	b1627
wgMLST-00032709	b1628
wgMLST-00032710	b1630
wgMLST-00032711	b1631
wgMLST-00032712	b1632
wgMLST-00032713	b1633
wgMLST-00032714	b1634
wgMLST-00032716	b1636
wgMLST-00032717	b1637
wgMLST-00032718	b1638
wgMLST-00032720	b1640
wgMLST-00032721	b1641
wgMLST-00032722	b1642
wgMLST-00032723	b1643
wgMLST-00032725	b1646
wgMLST-00032726	b1647
wgMLST-00032727	b1648
wgMLST-00032728	b1649
wgMLST-00032729	b1650
wgMLST-00032730	b1651
wgMLST-00032731	b1652
wgMLST-00032733	b1654
wgMLST-00032734	b1655
wgMLST-00032735	b1656
wgMLST-00032736	b1657
wgMLST-00032737	b1658
wgMLST-00032738	b1659
wgMLST-00032739	b1660
wgMLST-00032740	b1661
wgMLST-00032741	b1662
wgMLST-00032742	b1663
wgMLST-00032743	b1664
wgMLST-00032744	b1667
wgMLST-00032745	b1669
wgMLST-00032746	b1670
wgMLST-00032748	b1675
wgMLST-00032749	b1676
wgMLST-00032750	b1677
wgMLST-00032751	b1678
wgMLST-00032752	b1679
wgMLST-00032753	b1680
wgMLST-00032754	b1681
wgMLST-00032755	b1682
wgMLST-00032756	b1683
wgMLST-00032757	b1684
wgMLST-00032758	b1685
wgMLST-00032759	b1687
wgMLST-00032760	b1688
wgMLST-00032761	b1689
wgMLST-00032762	b1692
wgMLST-00032763	b1693
wgMLST-00032767	b1702
wgMLST-00032768	b1703
wgMLST-00032769	b1704
wgMLST-00032770	b1705
wgMLST-00032771	b1706
wgMLST-00032773	b1708
wgMLST-00032774	b1709
wgMLST-00032775	b1710
wgMLST-00032776	b1711
wgMLST-00032777	b1712
wgMLST-00032778	b1713
wgMLST-00032779	b1714
wgMLST-00032781	b1716
wgMLST-00032782	b1717
wgMLST-00032783	b1718
wgMLST-00032784	b1719
wgMLST-00032785	b1722
wgMLST-00032786	b1723
wgMLST-00032787	b1724
wgMLST-00032788	b1725
wgMLST-00032789	b1726
wgMLST-00032790	b1727
wgMLST-00032791	b1728
wgMLST-00032793	b1731
wgMLST-00032794	b1732
wgMLST-00032795	b1733
wgMLST-00032798	b1736
wgMLST-00032800	b1738
wgMLST-00032801	b1739
wgMLST-00032802	b1740
wgMLST-00032803	b1742
wgMLST-00032804	b1743
wgMLST-00032805	b1744
wgMLST-00032808	b1747
wgMLST-00032809	b1749
wgMLST-00032810	b1750
wgMLST-00032811	b1751
wgMLST-00032812	b1752
wgMLST-00032813	b1753
wgMLST-00032816	b1756
wgMLST-00032818	b1759
wgMLST-00032819	b1760
wgMLST-00032820	b1761
wgMLST-00032821	b1763
wgMLST-00032822	b1764
wgMLST-00032823	b1765
wgMLST-00032824	b1766
wgMLST-00032825	b1767
wgMLST-00032826	b1768
wgMLST-00032830	b1777
wgMLST-00032831	b1778
wgMLST-00032832	b1779
wgMLST-00032833	b1780
wgMLST-00032834	b1781
wgMLST-00032835	b1782
wgMLST-00032851	b1804
wgMLST-00032852	b1805
wgMLST-00032853	b1806
wgMLST-00032854	b1807
wgMLST-00032855	b1808
wgMLST-00032856	b1809
wgMLST-00032857	b1810
wgMLST-00032858	b1811
wgMLST-00032859	b1812
wgMLST-00032860	b1813
wgMLST-00032862	b1816
wgMLST-00032863	b1817
wgMLST-00032864	b1820
wgMLST-00032866	b1822
wgMLST-00032868	b1825
wgMLST-00032870	b1827
wgMLST-00032872	b1829
wgMLST-00032873	b1830
wgMLST-00032874	b1831
wgMLST-00032875	b1832
wgMLST-00032876	b1833
wgMLST-00032878	b1835
wgMLST-00032880	b1839
wgMLST-00032882	b1841
wgMLST-00032883	b1842
wgMLST-00032885	b1844
wgMLST-00032886	b1845
wgMLST-00032887	b1846
wgMLST-00032888	b1847
wgMLST-00032890	b1849
wgMLST-00032891	b1850
wgMLST-00032892	b1851
wgMLST-00032893	b1852
wgMLST-00032894	b1853
wgMLST-00032895	b1854
wgMLST-00032897	b1856
wgMLST-00032898	b1857
wgMLST-00032899	b1858
wgMLST-00032900	b1859
wgMLST-00032901	b1860
wgMLST-00032902	b1861
wgMLST-00032904	b1863
wgMLST-00032905	b1864
wgMLST-00032906	b1865
wgMLST-00032907	b1866
wgMLST-00032910	b1869
wgMLST-00032911	b1870
wgMLST-00032912	b1871
wgMLST-00032913	b1873
wgMLST-00032914	b1874
wgMLST-00032915	b1875
wgMLST-00032916	b1876
wgMLST-00032920	b1881
wgMLST-00032921	b1882
wgMLST-00032922	b1887
wgMLST-00032923	b1889
wgMLST-00032924	b1890
wgMLST-00032925	b1891
wgMLST-00032929	b1897
wgMLST-00032930	b1900
wgMLST-00032932	b1902
wgMLST-00032934	b1905
wgMLST-00032935	b1906
wgMLST-00032936	b1907
wgMLST-00032937	b1908
wgMLST-00032938	b1912
wgMLST-00032939	b1913
wgMLST-00032940	b1914
wgMLST-00032941	b1915
wgMLST-00032942	b1916
wgMLST-00032943	b1917
wgMLST-00032944	b1918
wgMLST-00032945	b1919
wgMLST-00032949	b1925
wgMLST-00032950	b1926
wgMLST-00032951	b1927
wgMLST-00032952	b1928
wgMLST-00032953	b1929
wgMLST-00032954	b1930
wgMLST-00032957	b1937
wgMLST-00032961	b1945
wgMLST-00032962	b1946
wgMLST-00032963	b1947
wgMLST-00032965	b1952
wgMLST-00032966	b1953
wgMLST-00032968	b1957
wgMLST-00032969	b1958
wgMLST-00032971	b1960
wgMLST-00032972	b1969
wgMLST-00032973	b1970
wgMLST-00032975	b1972
wgMLST-00032976	b1973
wgMLST-00032977	b1976
wgMLST-00032979	b1982
wgMLST-00032982	b1988
wgMLST-00032983	b1991
wgMLST-00032984	b1992
wgMLST-00032985	b1993
