Chewie-NS ID	Original ID
wgMLST-00047362	STMMW_06181
wgMLST-00047364	STMMW_06201
wgMLST-00047366	STMMW_06281
wgMLST-00047367	STMMW_06291
wgMLST-00047368	STMMW_06301
wgMLST-00047369	STMMW_06311
wgMLST-00047370	STMMW_06321
wgMLST-00047371	STMMW_06341
wgMLST-00047372	STMMW_06351
wgMLST-00047380	STMMW_06441
wgMLST-00047381	STMMW_06451
wgMLST-00047382	STMMW_06461
wgMLST-00047383	STMMW_06472
wgMLST-00047384	STMMW_06481
wgMLST-00047385	STMMW_06491
wgMLST-00047386	STMMW_06501
wgMLST-00047387	STMMW_06511
wgMLST-00047388	STMMW_06521
wgMLST-00047390	STMMW_06541
wgMLST-00047391	STMMW_06551
wgMLST-00047392	STMMW_06561
wgMLST-00047393	STMMW_06571
wgMLST-00047394	STMMW_06581
wgMLST-00047395	STMMW_06591
wgMLST-00047396	STMMW_06601
wgMLST-00047397	STMMW_06611
wgMLST-00047399	STMMW_06631
wgMLST-00047400	STMMW_06671
wgMLST-00047401	STMMW_06681
wgMLST-00047402	STMMW_06691
wgMLST-00047403	STMMW_06701
wgMLST-00047404	STMMW_06721
wgMLST-00047405	STMMW_06731
wgMLST-00047406	STMMW_06741
wgMLST-00047407	STMMW_06751
wgMLST-00047408	STMMW_06761
wgMLST-00047409	STMMW_06781
wgMLST-00047410	STMMW_06791
wgMLST-00047411	STMMW_06801
wgMLST-00047412	STMMW_06811
wgMLST-00047414	STMMW_06831
wgMLST-00047415	STMMW_06841
wgMLST-00047416	STMMW_06851
wgMLST-00047417	STMMW_06881
wgMLST-00047418	STMMW_06891
wgMLST-00047419	STMMW_06901
wgMLST-00047420	STMMW_06911
wgMLST-00047421	STMMW_06921
wgMLST-00047422	STMMW_06931
wgMLST-00047423	STMMW_06951
wgMLST-00047424	STMMW_06961
wgMLST-00047425	STMMW_06981
wgMLST-00047426	STMMW_06991
wgMLST-00047427	STMMW_07001
wgMLST-00047428	STMMW_07011
wgMLST-00047429	STMMW_07031
wgMLST-00047430	STMMW_07041
wgMLST-00047431	STMMW_07051
wgMLST-00047432	STMMW_07061
wgMLST-00047433	STMMW_07071
wgMLST-00047434	STMMW_07081
wgMLST-00047435	STMMW_07091
wgMLST-00047436	STMMW_07101
wgMLST-00047437	STMMW_07111
wgMLST-00047438	STMMW_07121
wgMLST-00047439	STMMW_07131
wgMLST-00047440	STMMW_07141
wgMLST-00047441	STMMW_07151
wgMLST-00047442	STMMW_07181
wgMLST-00047443	STMMW_07201
wgMLST-00047444	STMMW_07231
wgMLST-00047445	STMMW_07241
wgMLST-00047447	STMMW_07261
wgMLST-00047448	STMMW_07281
wgMLST-00047450	STMMW_07301
wgMLST-00047451	STMMW_07311
wgMLST-00047452	STMMW_07321
wgMLST-00047453	STMMW_07331
wgMLST-00047454	STMMW_07341
wgMLST-00047455	STMMW_07351
wgMLST-00047456	STMMW_07361
wgMLST-00047458	STMMW_07381
wgMLST-00047459	STMMW_07391
wgMLST-00047460	STMMW_07401
wgMLST-00047461	STMMW_07411
wgMLST-00047462	STMMW_07421
wgMLST-00047463	STMMW_07431
wgMLST-00047464	STMMW_07441
wgMLST-00047465	STMMW_07451
wgMLST-00047466	STMMW_07461
wgMLST-00047467	STMMW_07471
wgMLST-00047468	STMMW_07481
wgMLST-00047469	STMMW_07491
wgMLST-00047470	STMMW_07501
wgMLST-00047471	STMMW_07511
wgMLST-00047472	STMMW_07521
wgMLST-00047473	STMMW_07531
wgMLST-00047475	STMMW_07551
wgMLST-00047476	STMMW_07561
wgMLST-00047477	STMMW_07571
wgMLST-00047478	STMMW_07581
wgMLST-00047481	STMMW_07621
wgMLST-00047482	STMMW_07641
wgMLST-00047483	STMMW_07651
wgMLST-00047484	STMMW_07661
wgMLST-00047485	STMMW_07671
wgMLST-00047486	STMMW_07681
wgMLST-00047487	STMMW_07691
wgMLST-00047488	STMMW_07701
wgMLST-00047489	STMMW_07711
wgMLST-00047500	STMMW_07851
wgMLST-00047501	STMMW_07861
wgMLST-00047502	STMMW_07871
wgMLST-00047504	STMMW_07891
wgMLST-00047505	STMMW_07901
wgMLST-00047506	STMMW_07921
wgMLST-00047507	STMMW_07931
wgMLST-00047508	STMMW_07941
wgMLST-00047509	STMMW_07951
wgMLST-00047510	STMMW_07961
wgMLST-00047511	STMMW_07981
wgMLST-00047512	STMMW_07991
wgMLST-00047513	STMMW_08001
wgMLST-00047514	STMMW_08011
wgMLST-00047515	STMMW_08031
wgMLST-00047516	STMMW_08051
wgMLST-00047517	STMMW_08061
wgMLST-00047518	STMMW_08071
wgMLST-00047519	STMMW_08081
